millis;micros;d1;d2;accx;accy;accz;hgx;hgy;hgz;gyrox;gyroy;gyroz
14630;14631744;6384608;8438752;-0.04;1.036;-0.272;0.123;0.492;-0.1025;-1;-1;-1
14641;14641328;6389728;8438752;-0.048;1.064;-0.264;0.205;0.492;-0.082;-1;-1;-1
14653;14653536;6381536;8438752;-0.036;1.048;-0.292;0.1845;0.492;-0.0615;-1;-1;-1
14665;14665784;6380512;8438752;-0.048;1.036;-0.28;0.205;0.492;-0.1845;-1;-1;-1
14678;14678824;6382560;8438752;-0.052;1.044;-0.28;0.164;0.492;-0.1025;-1;-1;-1
14690;14691016;6385632;8438752;-0.072;1.052;-0.28;0.123;0.533;-0.082;-1;-1;-1
14702;14703232;6381024;8437728;-0.056;1.052;-0.276;0.2665;0.492;-0.0205;-1;-1;-1
14714;14715456;6376416;8437728;-0.06;1.028;-0.248;0.2255;0.41;-0.0615;-1;-1;-1
14725;14725920;6382048;8437728;-0.056;1.04;-0.256;0.2665;0.5125;-0.2665;-1;-1;-1
14737;14738088;6386144;8437728;-0.06;1.076;-0.292;0.246;0.41;-0.082;-1;-1;-1
14749;14750336;6382560;8437728;-0.06;1.044;-0.288;0.205;0.4715;-0.1025;-1;-1;-1
14761;14762576;6384096;8437728;-0.056;1.052;-0.264;0.246;0.451;-0.0205;-1;-1;-1
14772;14773024;6381024;8437728;-0.056;1.048;-0.272;0.164;0.4305;-0.1435;-1;-1;-1
14784;14785264;6382560;8437728;-0.048;1.044;-0.26;0.1845;0.492;-0.287;-1;-1;-1
14796;14797440;6380000;8437728;-0.06;1.056;-0.272;0.1435;0.5535;-0.0615;-1;-1;-1
14807;14807104;6383584;8437728;-0.048;1.052;-0.28;0.123;0.492;-0.1845;-1;-1;-1
14819;14820168;6386144;8437728;-0.036;1.04;-0.272;0.123;0.4715;-0.1845;-1;-1;-1
14831;14832368;6380512;8437728;-0.06;1.044;-0.264;0.123;0.4715;-0.041;-1;-1;-1
14843;14844584;6384096;8437728;-0.052;1.044;-0.292;0.246;0.451;-0.164;-1;-1;-1
14854;14854232;6380000;8437728;-0.048;1.04;-0.28;0.205;0.4305;-0.1435;-1;-1;-1
14866;14866480;6384608;8437728;-0.06;1.044;-0.288;0.1845;0.5125;-0.246;-1;-1;-1
14878;14879536;6382560;8437728;-0.068;1.04;-0.3;0.205;0.4715;-0.1435;-1;-1;-1
14891;14891720;6382560;8437728;-0.052;1.044;-0.264;0.1845;0.492;-0.164;-1;-1;-1
14903;14903920;6382048;8437216;-0.06;1.04;-0.272;0.2255;0.4305;-0.1025;-1;-1;-1
14915;14916128;6384096;8437216;-0.048;1.048;-0.276;0.1845;0.5125;-0.123;-1;-1;-1
14927;14928328;6386144;8437216;-0.048;1.052;-0.28;0.1435;0.5125;-0.1025;-1;-1;-1
14938;14938792;6383072;8437216;-0.056;1.044;-0.268;0.164;0.3895;-0.0205;-1;-1;-1
14950;14951008;6381536;8437216;-0.056;1.052;-0.288;0.246;0.492;-0.164;-1;-1;-1
14962;14963248;6384608;8437216;-0.06;1.044;-0.28;0.205;0.5125;-0.1025;-1;-1;-1
14974;14975432;6379488;8437216;-0.04;1.04;-0.26;0.164;0.533;-0.123;-1;-1;-1
14985;14985872;6378464;8437216;-0.064;1.044;-0.268;0.2255;0.4305;-0.0205;-1;-1;-1
14997;14998040;6381024;8437216;-0.056;1.064;-0.28;0.205;0.492;0.0205;-1;-1;-1
15009;15010280;6384608;8437216;-0.056;1.052;-0.276;0.246;0.5125;-0.041;-1;-1;-1
15020;15020696;6383072;8437216;-0.052;1.044;-0.276;0.1845;0.4715;-0.123;-1;-1;-1
15032;15032968;6385120;8437216;-0.044;1.044;-0.28;0.1435;0.5535;-0.1025;-1;-1;-1
15044;15045208;6386656;8437216;-0.06;1.044;-0.272;0.164;0.41;-0.1845;-1;-1;-1
15056;15057384;6380512;8437216;-0.048;1.06;-0.28;0.205;0.4305;-0.123;-1;-1;-1
15067;15067856;6386144;8437216;-0.044;1.056;-0.272;0.205;0.4715;-0.123;-1;-1;-1
15079;15080104;6385120;8437216;-0.06;1.068;-0.292;0.1845;0.492;-0.1435;-1;-1;-1
15091;15092312;6380000;8437216;-0.048;1.036;-0.248;0.164;0.5125;-0.082;-1;-1;-1
15104;15105384;6387680;8436192;-0.044;1.04;-0.26;0.2255;0.4715;-0.1845;-1;-1;-1
15116;15116704;6384608;8436192;-0.052;1.048;-0.284;0.1435;0.4715;-0.123;-1;-1;-1
15128;15128952;6385632;8436192;-0.068;1.048;-0.28;0.205;0.3895;-0.123;-1;-1;-1
15140;15141144;6377952;8436192;-0.04;1.04;-0.276;0.1435;0.5125;-0.123;-1;-1;-1
15151;15151568;6386656;8436192;-0.052;1.048;-0.276;0.1025;0.533;-0.123;-1;-1;-1
15163;15163760;6386144;8436192;-0.056;1.06;-0.304;0.164;0.492;-0.1435;-1;-1;-1
15175;15176000;6385120;8436192;-0.048;1.036;-0.272;0.246;0.5125;-0.123;-1;-1;-1
15187;15188224;6383072;8436192;-0.044;1.016;-0.272;0.1435;0.5125;-0.082;-1;-1;-1
15198;15198672;6379488;8436192;-0.048;1.052;-0.28;0.164;0.4715;-0.123;-1;-1;-1
15210;15210904;6384608;8435680;-0.064;1.044;-0.284;0.205;0.451;-0.164;-1;-1;-1
15222;15223136;6383072;8435680;-0.048;1.044;-0.276;0.123;0.451;-0.082;-1;-1;-1
15233;15233616;6383584;8435680;-0.052;1.044;-0.288;0.1845;0.533;-0.1435;-1;-1;-1
15245;15245824;6389216;8435680;-0.052;1.056;-0.268;0.1025;0.4715;-0.1025;-1;-1;-1
15257;15258040;6380000;8435680;-0.048;1.052;-0.264;0.287;0.492;-0.1025;-1;-1;-1
15269;15270248;6386144;8435680;-0.044;1.032;-0.276;0.1435;0.5125;-0.082;-1;-1;-1
15280;15280728;6382560;8435680;-0.048;1.048;-0.288;0.164;0.492;-0.1435;-1;-1;-1
15292;15292944;6380512;8435680;-0.064;1.056;-0.276;0.2255;0.4715;-0.0615;-1;-1;-1
15304;15305104;6384608;8435680;-0.052;1.044;-0.264;0.1845;0.574;-0.082;-1;-1;-1
15316;15317352;6385632;8435168;-0.044;1.032;-0.272;0.2255;0.4715;-0.082;-1;-1;-1
15327;15327840;6385120;8435168;-0.052;1.048;-0.28;0.205;0.4715;-0.123;-1;-1;-1
15339;15340024;6380512;8435168;-0.052;1.048;-0.272;0.1845;0.492;0.0615;-1;-1;-1
15351;15352256;6386656;8435168;-0.04;1.04;-0.264;0.1845;0.3895;-0.0615;-1;-1;-1
15362;15362680;6384096;8435168;-0.048;1.04;-0.264;0.1435;0.5125;-0.1025;-1;-1;-1
